number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_reward_distance_diff_scale,params_reward_hidden_bonus,state
0,,2026-02-17 17:36:51.134382,2026-02-17 17:36:51.156522,0 days 00:00:00.022140,0.0002957242577176346,4.798205782939842e-05,1.4503471066820837,1.848267502054719,FAIL
1,,2026-02-17 17:37:42.286929,2026-02-17 17:37:42.305881,0 days 00:00:00.018952,0.0017636675225757557,0.00011083223398006012,0.9042370611181529,1.1474644627698367,FAIL
2,153.6,2026-02-17 17:38:47.827463,2026-02-17 17:41:18.521525,0 days 00:02:30.694062,0.00010029519132016033,0.0001316866563604218,2.066635789629315,1.250278038607898,COMPLETE
3,136.02,2026-02-17 17:41:18.665274,2026-02-17 17:43:46.221744,0 days 00:02:27.556470,0.0004045492545155944,3.732127095719814e-05,4.913058312145176,1.3203279962243077,COMPLETE
4,155.28,2026-02-17 17:43:46.230706,2026-02-17 17:46:14.862195,0 days 00:02:28.631489,0.0008820918782596093,0.00018523717778643652,2.134542210915907,0.5957521640577466,COMPLETE
5,,2026-02-17 17:46:14.872379,2026-02-17 17:48:28.320757,0 days 00:02:13.448378,0.00041242459219333684,0.0001402823568614025,3.8081277351126204,2.1427452962366145,FAIL
6,,2026-02-17 17:48:33.802946,2026-02-17 17:50:43.816353,0 days 00:02:10.013407,0.00026499714917486696,5.201800392395327e-05,2.4153090042558256,1.1632009063279023,FAIL
7,,2026-02-17 17:50:50.008389,,,,,,,RUNNING
8,,2026-02-17 17:50:50.014032,,,0.0008342800131886395,0.0002844387428615757,3.9019193214747325,2.936038457504366,RUNNING
9,,2026-02-17 17:51:13.316282,,,,,,,RUNNING
10,,2026-02-17 17:51:13.322290,,,0.0004904706938233178,1.1996423181315431e-05,1.7625895223423358,1.9282289495217255,RUNNING
11,,2026-02-17 17:52:31.816718,,,,,,,RUNNING
12,,2026-02-17 17:52:31.821892,,,0.0019393846333321165,5.621466480940712e-05,1.0785275501681182,1.3438851316090592,RUNNING
13,,2026-02-17 17:54:13.969681,,,,,,,RUNNING
14,,2026-02-17 17:54:13.975149,,,0.0027716496411212357,7.330472658436039e-05,1.906275706324434,2.0786457581147286,RUNNING
15,,2026-02-17 17:55:31.400594,,,,,,,RUNNING
16,,2026-02-17 17:55:31.405990,,,0.0008428341870086384,2.4140788511537466e-05,4.869973511880058,1.1989248042333118,RUNNING
17,,2026-02-17 17:57:19.005540,,,,,,,RUNNING
18,,2026-02-17 17:57:19.011443,,,0.0002002554159841723,1.7339367981557116e-05,0.850232514003023,2.3022441957905615,RUNNING
19,,2026-02-17 17:59:52.333472,,,0.00015716829652791213,2.4095098159077392e-05,1.4238496154024793,0.7647735269155982,RUNNING
20,,2026-02-17 18:02:08.137786,,,0.0013575272985361635,4.2885281262700596e-05,4.339746217384913,1.9323829876578056,RUNNING
21,,2026-02-17 18:02:37.202953,,,0.0004404397861166187,1.977145888497943e-05,3.4845357549098637,2.233733705187825,RUNNING
22,158.9,2026-02-17 18:03:56.676460,2026-02-17 18:06:52.830212,0 days 00:02:56.153752,0.00043524990220375666,1.5491758219569427e-05,1.1009249441650797,0.5590086841815696,COMPLETE
23,,2026-02-17 18:06:52.999237,,,0.00036763263771285177,0.00027181203972169313,1.029608930121377,1.2862939733188667,RUNNING
24,,2026-02-17 18:09:34.540015,,,0.0003236717727792523,2.0203060347739683e-05,1.1905532270348134,2.6794835201661997,RUNNING
25,,2026-02-17 18:12:45.083438,,,0.003996778761144262,0.00025811580760326877,2.119502009612883,0.6896006751212462,RUNNING
26,,2026-02-17 18:16:41.936917,,,0.0001176137199665891,8.779966850110994e-05,2.2319112747037133,1.896511751769884,RUNNING
27,,2026-02-17 18:20:10.007969,,,0.00037183815368088175,8.23875030058776e-05,2.9106117945848045,0.8707759365462926,RUNNING
28,,2026-02-17 18:22:47.363486,,,0.0004990106277956206,3.6276628724935785e-05,3.8101180010680205,1.5851236163109321,RUNNING
29,,2026-02-17 18:23:07.096834,,,0.0006246470313805207,0.00010893486931210585,2.609269078307886,2.3384999955273065,RUNNING
30,,2026-02-17 18:24:25.734905,,,0.0005314224166478757,0.00018201579787124883,1.5415512069301212,0.7377283159349158,RUNNING
31,,2026-02-17 18:25:44.898263,,,0.0034488941407375753,3.0298975103255756e-05,1.772976749769508,2.547984339014163,RUNNING
32,,2026-02-17 18:28:08.876296,,,0.0008790690144451733,8.451063521311429e-05,4.3634480417582,0.5245406742549346,RUNNING
33,156.54,2026-02-17 18:31:18.629773,2026-02-17 18:34:44.462950,0 days 00:03:25.833177,0.0006183801699403516,1.4992054216914237e-05,1.7950742991271618,2.428316687590371,COMPLETE
34,,2026-02-17 18:32:18.173594,,,0.000625181280734267,2.2451238506591022e-05,3.8419168797694043,0.6580539847818824,RUNNING
35,163.06,2026-02-17 18:32:58.036505,2026-02-17 18:37:09.102110,0 days 00:04:11.065605,0.0006988542096405165,2.322162755587801e-05,2.8456350906951347,1.4595449329910324,COMPLETE
36,,2026-02-17 18:34:44.686658,,,0.0035374138272756166,8.250441664210726e-05,4.578233197757288,2.1257609452052364,RUNNING
37,,2026-02-17 18:37:09.308714,,,0.00017734526034369035,5.4082664895867925e-05,3.5048715773930854,1.013929741678007,RUNNING
38,,2026-02-17 18:39:36.178151,,,0.002711089201388418,3.700029378497477e-05,4.917517491059773,0.5422473924849398,RUNNING
39,159.86,2026-02-17 18:41:44.149440,2026-02-17 18:44:26.603034,0 days 00:02:42.453594,0.0009496959725033774,0.00019555123980668062,2.9448684521162973,1.6278601953873686,COMPLETE
40,,2026-02-17 18:44:26.782530,,,0.0008799090325036042,0.00014903491538000222,3.785820839134902,0.8077293689964783,RUNNING
41,147.64000000000001,2026-02-17 18:46:30.021568,2026-02-17 18:49:18.540175,0 days 00:02:48.518607,0.0002493965425927778,2.7681832515065425e-05,4.646115612575729,2.5724880945738677,COMPLETE
42,142.58,2026-02-17 18:49:18.747915,2026-02-17 18:52:09.254638,0 days 00:02:50.506723,0.0016308470275462879,2.8436670655761e-05,2.2086050445049676,1.7441182206429913,COMPLETE
43,,2026-02-17 18:52:09.284608,,,0.0005949680474820231,3.4458921471117164e-05,1.4960025140128137,2.675969173511632,RUNNING
44,161.07999999999998,2026-02-17 18:52:14.379206,2026-02-17 18:54:49.839996,0 days 00:02:35.460790,0.0032065705526270563,0.00032700999726396847,0.7740809074850465,1.9017859217061752,COMPLETE
45,163.02,2026-02-17 18:54:50.041175,2026-02-17 18:57:24.974467,0 days 00:02:34.933292,0.002370731164050538,7.011637913594085e-05,3.433504187556543,2.1643537772611023,COMPLETE
46,149.34,2026-02-17 18:57:25.006662,2026-02-17 18:59:59.866455,0 days 00:02:34.859793,0.004608196484665618,6.85420342339224e-05,3.5559608016929207,2.9297258073666943,COMPLETE
