number,value,datetime_start,datetime_complete,duration,params_cos_penalty_scale,params_ent_coef,params_learning_rate,params_reward_hidden_bonus,state
0,240.64000000000001,2026-02-10 22:03:43.146377,2026-02-10 22:06:41.468551,0 days 00:02:58.322174,4.453619456048973,5.0138591563242666e-05,1.3795063446984619e-05,1.6246481142640783,COMPLETE
1,,2026-02-10 22:06:41.645367,2026-02-10 22:08:48.078422,0 days 00:02:06.433055,4.16967971284433,0.0005972802954726804,2.3302658006856685e-06,1.4644265876006044,FAIL
2,230.85999999999999,2026-02-10 22:10:30.002395,2026-02-10 22:13:22.325608,0 days 00:02:52.323213,2.184423980270557,0.00033846609231952946,3.077980547420414e-05,1.9603075070989804,COMPLETE
3,242.18,2026-02-10 22:13:22.500600,2026-02-10 22:16:15.241798,0 days 00:02:52.741198,1.9277072203919685,7.699723932646345e-05,1.672551793848189e-06,1.9628216537728276,COMPLETE
4,225.04000000000002,2026-02-10 22:16:15.249508,2026-02-10 22:19:04.430372,0 days 00:02:49.180864,1.3482889436954948,0.00011428222061807334,4.15685895478229e-06,1.0573358639976824,COMPLETE
5,224.42000000000002,2026-02-10 22:19:04.437614,2026-02-10 22:22:04.108327,0 days 00:02:59.670713,2.072304331582923,0.00026947914510657594,9.334517789865221e-06,2.077168788678929,COMPLETE
6,,2026-02-10 22:22:04.115345,2026-02-10 22:22:22.686266,0 days 00:00:18.570921,4.345045061894288,6.186897146575701e-05,4.451637129580195e-06,2.4435787631843455,FAIL
7,229.24,2026-02-10 22:22:49.461792,2026-02-10 22:25:49.376593,0 days 00:02:59.914801,2.5777443989719533,8.704029948092677e-05,9.724494156086256e-06,1.0823785569066038,COMPLETE
8,222.42,2026-02-10 22:25:49.553168,2026-02-10 22:28:45.971196,0 days 00:02:56.418028,2.5147573060501762,0.0007285445133202805,5.343682990851388e-05,2.3219207022953734,COMPLETE
9,239.35999999999999,2026-02-10 22:28:45.978517,2026-02-10 22:31:49.798048,0 days 00:03:03.819531,2.472511690552367,0.0007691471139318963,2.81474868689591e-05,1.506094192769482,COMPLETE
10,227.92,2026-02-10 22:31:49.804414,2026-02-10 22:34:56.765881,0 days 00:03:06.961467,4.452973850746033,0.0003920054907132452,2.376450708000939e-06,2.126755979815866,COMPLETE
11,231.16,2026-02-10 22:34:56.772236,2026-02-10 22:38:02.082572,0 days 00:03:05.310336,3.479949083558722,7.70407150806029e-05,7.893301415544839e-06,1.7144301157900308,COMPLETE
12,239.66,2026-02-10 22:38:02.089110,2026-02-10 22:41:10.480138,0 days 00:03:08.391028,1.254792354613416,0.00016161597628508627,1.1067421720432504e-06,2.9543748243122288,COMPLETE
13,230.1,2026-02-10 22:41:10.486737,2026-02-10 22:44:20.393115,0 days 00:03:09.906378,4.898660755709123,5.0017551478477575e-05,2.6639732771383063e-06,1.4187425502224773,COMPLETE
14,220.21999999999997,2026-02-10 22:44:20.400144,2026-02-10 22:47:37.201033,0 days 00:03:16.800889,3.572419738661326,5.245496623187479e-05,2.1580866573585523e-05,2.5823551966627094,COMPLETE
15,230.93999999999997,2026-02-10 22:47:37.207806,2026-02-10 22:50:56.387672,0 days 00:03:19.179866,3.9524199923531858,0.0001493366200284819,9.877697657370785e-05,0.6064098673523057,COMPLETE
16,219.5,2026-02-10 22:50:56.394007,2026-02-10 22:54:22.745562,0 days 00:03:26.351555,3.1129008394695803,7.579419871653127e-05,1.1611305912997701e-06,1.3065421485380218,COMPLETE
17,233.32,2026-02-10 22:54:22.753097,2026-02-10 22:57:42.797866,0 days 00:03:20.044769,1.5937015902712302,0.00010262307063867508,4.454804212471629e-06,1.746760756750461,COMPLETE
18,236.18,2026-02-10 22:57:42.804917,2026-02-10 23:01:06.722363,0 days 00:03:23.917446,4.187626515883799,6.1025772489501226e-05,1.662125385892345e-05,2.5691660613534713,COMPLETE
19,,2026-02-10 23:01:06.728927,2026-02-10 23:03:54.543434,0 days 00:02:47.814507,4.8821679487608485,0.00017260359815978693,4.843564436967212e-06,0.6332981553038224,FAIL
20,0.0,2026-02-11 09:44:47.845832,2026-02-11 09:44:49.182766,0 days 00:00:01.336934,4.993098480563443,0.00016635207915036344,5.583592561421733e-06,0.5187399707226066,COMPLETE
21,0.0,2026-02-11 09:44:49.552847,2026-02-11 09:44:50.475587,0 days 00:00:00.922740,1.7769113888930432,0.00011472171221389345,2.2050004089240823e-06,0.8591712784256691,COMPLETE
22,0.0,2026-02-11 09:44:50.486135,2026-02-11 09:44:51.353155,0 days 00:00:00.867020,3.011346112456494,6.839261929676123e-05,1.3375157337378643e-05,1.6172229928901674,COMPLETE
23,0.0,2026-02-11 09:44:51.361480,2026-02-11 09:44:52.343221,0 days 00:00:00.981741,3.3961060300677985,0.0001905730708804504,5.2568279326922156e-05,1.9608292150065207,COMPLETE
24,0.0,2026-02-11 09:44:52.352497,2026-02-11 09:44:53.191847,0 days 00:00:00.839350,1.2980333154401535,0.0001404538573949223,1.007583661065077e-06,2.361128642927262,COMPLETE
